Overflow Type,Municipality/Facility,NPDES #,Date Discovered,Time Discovered,Days,Hours,Minutes,Location,Zip Code,Latitude,Longitude,Collection-System,Quantity in Gallons (Estimated),Net in Gallons (Estimated),Cause,Receiving waters,County,Penalty Collected Comments,Penalty Collected,Notes
SSO,Eastern Correctional Institute (MES),N/A,1/29/2007,8:00:00 AM,,,,Eastern Correctional Institute,21871,38.196667,-75.696944,Eastern Correctional Instituet WWTP,200,200,Pipe failure,Unknown,Somerset,,,Duration not provided
SSO,"Rockville, City of",N/A,1/29/2007,12:45:00 PM,0,0,30,"109 South Washington Street, rear of",20850,,,,500,500,Grease,Unknown,Anne Arundel,,,Collection system not provided
SSO,WSSC,N/A,1/29/2007,1:21:00 PM,0,1,41,"10509 Gentain Ct, Clean out SS14034189, Upper Marlboro",20772,,,,5,5,Mechanical failure,Western Branch,Prince George's,,,Collection system not provided
SSO,MES,N/A,1/29/2007,3:00:00 PM,0,3,0,Homeowner cleanout on Village Ave,,,,,100,100,Blockage,Drainage ditch,Queen Anne's,,,Collection system not provided
SSO,MES,N/A,1/29/2007,3:00:00 PM,0,3,0,"Village Ave, Church Hill",,,,,100,100,Blockage,Drainage ditch,Queen Anne's,,,Collection system not provided
SSO,WSSC,N/A,1/30/2007,10:16:00 PM,0,2,44,"5 Plum Grove, MH 130115013, Gaithersburg",20878,,,,82,82,Unknown,Muddy Branch,Montgomery,,,Collection system not provided
SSO,Charles County DPW,N/A,1/31/2007,6:00:00 AM,0,1,0,MH @ the intersection of Montgomery Lane and MD/5,,,,,1000,1000,Pipe failure,Unknown,Charles,,,Collection system not provided
SSO,City of Baltimore,N/A,1/31/2007,9:00:00 AM,0,2,20,5700 Newholme Ave,,,,,140,140,Grease,Moores Run,City of Baltimore,,,Lat/Long could not be obtained with the address provided
SSO,Queen Anne's County Sanitary District,N/A,1/31/2007,4:00:00 PM,0,2,0,"113 St. Claire Place, Stevensville",,,,,70,70,Mechanical failure,Unknown,Queen Anne's,,,Collection system not provided
SSO,Harford County DPW,N/A,1/31/2007,6:00:00 PM,1,0,0,"MH #4 Melrose Lane, Bel Air",21014,,,,4320,4320,Grease,Unnamed,Harford,,,Collection system not provided
CSO,"Cambridge, City of",MD0021636,2/2/2007,,,,,"Vue de Leau Street, Mills Street, Oakley Street, Maryland Ave., Glenburn Ave and Choptank Ave",21614,38.3431,-76.3465,Cambridge WWTP,100000,100000,Precipitation,Choptank River,Dorchester,,,Time discovered and duration not provided
SSO,Queen Anne's County Sanitary District,N/A,2/3/2007,12:00:00 PM,0,1,45,"1127 Cox Neck Road, Chester",,,,,300,300,Mechanical failure,Unknown,Queen Anne's,,,Collection system not provided
SSO,"Annapolis, City of",N/A,2/4/2007,6:30:00 PM,0,3,0,MH behind 1195 Madison Street,21401,,,,200,200,Grease,Spa Creek,Anne Arundel,,,Collection system not provided
SSO,Washington County Department of Water Quality,N/A,2/7/2007,5:37:00 PM,0,1,53,"Cross Street 18111 College Road, Hagerstown",21740,,,,0,0,Pipe failure,Unknown,Washington,,,Collection system not provided
SSO,"Army, Department of",N/A,2/7/2007,,,,,Aberdeen Proving Ground Edgewood Area WWTP,21005,,,,25,25,Mechanical failure,Unknown,Harford,,,Duration & collection system not provided
SSO,"Betterton, Town of",N/A,2/8/2007,1:00:00 PM,0,0,45,Intersection of Main Street and Erickson Avenue,21610,,,,500,500,Blockage,Unknown,Kent,,,Collection system not provided
SSO,Somerset County Sanitary District,N/A,2/8/2007,1:30:00 PM,0,2,0,"MH intersection of Somerset Ave and Fluers Lane, Princess Anne",21853,,,,6000,6000,Contractor,Manokin River,Somerset,,,Collection system not provided
SSO,MES,N/A,2/8/2007,,,,,"Atlee Ridge PS, New Windsor",,,,,4000,4000,Power Failure,Unknown,Carroll,,,"Duration, collection system & zip code not provided"
SSO,Baltimore County DPW,N/A,2/9/2007,11:00:00 AM,0,1,30,Marston Road @ Rohm Rd (7000 block),21207,,,Patapsco WWTP,300,300,Blockage,Gwynn's Falls,Baltimore County,,,None
SSO,WSSC,N/A,2/9/2007,3:38:00 PM,0,1,23,"700 Avanti Place, MH 14144027, Hyattsville",21785,,,,1122,1122,Grease,Western Branch,Prince George's,,,Collection system not provided
CSO,Allegany County DPW,MD0067407,2/9/2007,8:00:00 PM,0,1,0,001 Wright's Crossing PS,21532,39.382,-78.5557,Cumberland WWTP,3000,3000,Precipitation,Georges Creek,Allegany,,,None
SSO,Charles County DPW,N/A,2/14/2007,5:45:00 AM,,,,Fairview Beach Main PS,,,,,0,0,Power Failure,Unknown,Charles,,,"Duration, zip code & flow not provided"
BYPASS,"St. Michaels, City of / MES",MD0023604,2/14/2007,8:30:00 AM,1,1,0,MES-Sand Filter,21108,,,,117000,117000,Precipitation,Miles River,Talbot,,,Collection system not provided
SSO,WSSC,N/A,2/14/2007,11:40:00 AM,0,0,50,2701 Crain Hwy.,20716,,,,20000,20000,Power Failure,Patuxent River,Prince George's,,,Collection system not provided
SSO,Anne Arundel County DPW,N/A,2/14/2007,2:00:00 PM,,,,"569 Bay Green Drive, PS",,,,,17700,17700,Power Failure,Deep Creek,Anne Arundel,,,"Duration, collection system & zip code not provided"
CSO,"Cambridge, City of",MD0021636,2/14/2007,,,,,"Vue de Leau Street, Mills Street, Oakley Street, Maryland Ave., Glenburn Ave and Choptank Ave",21614,38.3431,-76.3465,Cambridge WWTP,600000,600000,Precipitation,Choptank River,Dorchester,,,Time discovered and duration not provided
SSO,Anne Arundel County DPW,N/A,2/15/2007,1:35:00 PM,0,0,40,1331 Holly Road,,,,,150,150,Power Failure,Unknown,Anne Arundel,,,Collection system not provided
SSO,WSSC,N/A,2/15/2007,2:15:00 PM,0,2,30,"11323 Georgia Ave., Clean out 00372984500",20902,,,,300,300,Grease,Sligo Creek,Montgomery,,,Collection system not provided
CSO,"Cumberland, City of",MD0021598,2/20/2007,1:55:00 AM,0,1,0,012 Valley Street,21502,39.391,-78.491,Cumberland WWTP,4000,4000,Precipitation,Wills Creek,Allegany,,,None
SSO,Kent County DW&WWS,N/A,2/20/2007,8:00:00 AM,0,2,0,Intersection of Skinners Neck and Kelly's Park Roads,,,,,1000,1000,Pipe failure,Unknown,Kent,,,Collection system not provided
CSO,La Vale,MD0067547,2/20/2007,9:15:00 AM,3,12,15,001 La Vale PS,21504,37.57914957,-81.52828562,Cumberland WWTP,602034,602034,Excessive flow,Braddock Run,Allegany,,,None
CSO,La Vale,MD0067547,2/20/2007,9:30:00 AM,2,19,30,006 Red Hill,21504,37.57912013,-81.52834872,Cumberland WWTP,4284105,4284105,Excessive flow,Braddock Run,Allegany,,,None
CSO,"Cambridge, City of",MD0021636,2/20/2007,,,,,"Vue de Leau Street, Mills Street, Oakley Street, Maryland Ave., Glenburn Ave and Choptank Ave",21614,38.3431,-76.3465,Cambridge WWTP,80000,80000,Precipitation,Choptank River,Dorchester,,,Time discovered and duration not provided
SSO,Allegany County DPW,N/A,2/21/2007,11:00:00 AM,0,1560,0,"Georges Creek WWTP, Constructed Overflow Pipe @ MH#2",21502,,,Cumberland WWTP,9525000,9525000,Precipitation,Georges Creek,Allegany,,,None
CSO,Allegany County DPW,MD0067407,2/21/2007,3:00:00 PM,0,1,0,003 Grahamtown,21532,39.3857,-78.5525,Cumberland WWTP,3000,3000,Precipitation,Georges Creek,Allegany,,,None
SSO,Allegany County DPW,N/A,2/21/2007,4:00:00 PM,0,9,0,"Cresaptown Sanitary District, Cresaptown PS, Cresaptown",21502,,,Celanese WWTP,27000,27000,Precipitation,North Branch Potomac River,Allegany,,,Collection system not provided
SSO,Eastern Correctional Institute (MES),N/A,2/21/2007,5:15:00 PM,,,,BNR Carousel & #2 Clarifier,21871,38.196667,-75.696944,Eastern Correctional Instituet WWTP,1000,1000,Mechanical failure,Unknown,Somerset,,,Duration not provided
CSO,"Cambridge, City of",MD0021636,2/21/2007,,,,,"Vue de Leau Street, Mills Street, Oakley Street, Maryland Ave., Glenburn Ave and Choptank Ave",21614,38.3431,-76.3465,Cambridge WWTP,10000,10000,Precipitation,Choptank River,Dorchester,,,Time discovered and duration not provided
SSO,Anne Arundel County DPW,N/A,2/22/2007,7:30:00 PM,0,2,0,108 Elliott Place,,,,,150,150,Structural Failure,Chesapeake Bay,Anne Arundel,,,Collection system not provided
CSO,"Cambridge, City of",MD0021636,2/22/2007,,,,,"Vue de Leau Street, Mills Street, Oakley Street, Maryland Ave., Glenburn Ave and Choptank Ave",21614,38.3431,-76.3465,Cambridge WWTP,120000,120000,Precipitation,Choptank River,Dorchester,,,Time discovered and duration not provided
SSO,Washington County Department of Water Quality,N/A,2/23/2007,6:00:00 AM,0,0,15,Intersection of Byers & PA Ave,,,,,100,100,Contractor,Unknown,Washington,,,Collection system not provided
BYPASS,Myersville WWTP (MES),MD0020699,2/23/2007,2:00:00 PM,0,21,30,"Myersville WWTP sand filter, 2868 Mill Summer Road, Myersville",21773,,,Myersville WWTP,257000,257000,Precipitation,Grindstone Run,Frederick,,,Collection system not provided
SSO,Anne Arundel County DPW,N/A,2/23/2007,5:45:00 PM,0,2,0,3948 Honeysuckle,,,,,350,350,Structural Failure,Unknown,Anne Arundel,,,Collection system not provided
SSO,Eastern Correctional Institute (MES),N/A,2/24/2007,11:30:00 PM,,,,BNR Carousel & #2 Clarifier,21871,38.196667,-75.696944,Eastern Correctional Instituet WWTP,1500,1500,Mechanical failure,Unknown,Somerset,,,Duration not provided
BYPASS,Eastern Correctional Institute (MES),MD0065595,2/25/2007,11:50:00 AM,2,22,50,E.Q. Tank,21871,38.196667,-75.696944,Eastern Correctional Instituet WWTP,1718000,1718000,Pumps failed,Manokin River,Somerset,,,None
SSO,Harford County DPW,N/A,2/25/2007,8:00:00 PM,0,7,0,"113 Haverhill Road, Joppa",21085,,,,16331,16331,Grease,Gunpowder River,Harford,,,Collection system not provided
BYPASS,"St. Michaels, City of / MES",MD0023604,2/25/2007,11:00:00 PM,1,22,0,MES-Sand Filter,21108,,,,210417,210417,Precipitation,Miles River,Talbot,,,Collection system not provided
CSO,"Cambridge, City of",MD0021636,2/25/2007,,,,,"Vue de Leau Street, Mills Street, Oakley Street, Maryland Ave., Glenburn Ave and Choptank Ave",21614,38.3431,-76.3465,Cambridge WWTP,430000,430000,Precipitation,Choptank River,Dorchester,,,Time discovered and duration not provided
SSO,"Trappe, The Town of",N/A,2/26/2007,5:30:00 PM,0,1,30,3863 Harrison Circle,21673,,,,0,0,Grease,Storm Water Management Pond,Talbot,,,Collection system not provided
CSO,"Cambridge, City of",MD0021636,2/26/2007,,,,,"Vue de Leau Street, Mills Street, Oakley Street, Maryland Ave., Glenburn Ave and Choptank Ave",21614,38.3431,-76.3465,Cambridge WWTP,120000,120000,Precipitation,Choptank River,Dorchester,,,Time discovered and duration not provided
SSO,Queen Anne's County Sanitary District,N/A,2/27/2007,8:30:00 AM,0,0,30,"2751 Cecil Drive, Chester",,,,,150,150,Mechanical failure,Unknown,Queen Anne's,,,Collection system not provided
SSO,Hagerstown Regional Airport,N/A,2/27/2007,3:00:00 PM,,,,"18631 Jarkey Drive, Hagerstown Regional Airport",,,,,50,50,Mechanical failure,Unknown,Washington,,,"Duration, collection system & zip code not provided"
SSO,Worcester County DPW,N/A,2/27/2007,3:00:00 PM,0,0,30,Coastal Marsh Drive,,,,,200,200,Contractor,Unknown,Worcester,,,Collection system not provided
SSO,Wicomico County Board of Education,N/A,2/27/2007,4:15:00 PM,0,0,15,Mardela High School,,,,,500,500,Mechanical failure,Ground water,Wicomico,,,Collection system not provided
SSO,Wicomico County Board of Education,N/A,2/27/2007,4:45:00 PM,,,,Mardela High School SBR tank 1,,,,,3000,3000,Mechanical failure,Barren Creek,Wicomico,,,"Duration, collection system & zip code not provided"
CSO,La Vale,MD0067547,2/28/2007,1:00:00 PM,,,,001 La Vale PS,21504,37.57914957,-81.52828562,Cumberland WWTP,8120475,8120475,Excessive flow,Braddock Run,Allegany,,,Duration & zip code not provided
BYPASS,Myersville WWTP (MES),MD0020699,2/28/2007,2:00:00 PM,4,20,0,"Myersville WWTP sand filter, 2868 Mill Summer Road, Myersville",21773,,,Myersville WWTP,151100,151100,Precipitation,Grindstone Run,Frederick,,,Collection system not provided
SSO,Allegany County DPW,N/A,3/1/2007,12:00:00 AM,6,0,0,"Jennings Run Sanitary District, MH 47 Between Corriganville and Barrelville, Corriganville",21502,,,Cumberland WWTP,432000,432000,Precipitation,Jennings Run,Allegany,,,None
SSO,WSSC,N/A,3/1/2007,1:39:00 PM,0,2,0.6,"19 Sunnyside Rd, Silver Spring, MD",20901,,,,78,78,Roots,Sligo Creek,Montgomery,,,Collection system not provided
CSO,"Frostburg, City of",MD0067423,3/1/2007,7:00:00 PM,0,36,0,001/C,21532,37.57912784,-81.52842485,Cumberland WWTP,15000,15000,Precipitation,Sand Spring Run,Allegany,,,None
CSO,"Frostburg, City of",MD0067423,3/1/2007,7:00:00 PM,0,36,0,003/E,21532,37.57912643,-81.52842579,Cumberland WWTP,15000,15000,Precipitation,Sand Spring Run,Allegany,,,None
CSO,"Frostburg, City of",MD0067423,3/1/2007,7:00:00 PM,0,36,0,004/F,21532,37.57913753,-81.52840922,Cumberland WWTP,15000,15000,Precipitation,Jennings Run,Allegany,,,None
CSO,"Frostburg, City of",MD0067423,3/1/2007,7:00:00 PM,0,36,0,005/G,21532,37.57913835,-81.52841652,Cumberland WWTP,15000,15000,Precipitation,Jennings Run,Allegany,,,None
CSO,"Frostburg, City of",MD0067423,3/1/2007,7:00:00 PM,0,36,0,006/H,21532,37.5791357,-81.52842085,Cumberland WWTP,15000,15000,Precipitation,Jennings Run,Allegany,,,None
CSO,"Frostburg, City of",MD0067423,3/1/2007,7:00:00 PM,0,36,0,009/P.1,21532,37.57912886,-81.52841316,Cumberland WWTP,30000,30000,Precipitation,Georges Creek,Allegany,,,None
CSO,"Frostburg, City of",MD0067423,3/1/2007,7:00:00 PM,0,36,0,009/P.2,21532,37.57912857,-81.52841349,Cumberland WWTP,20000,20000,Precipitation,Georges Creek,Allegany,,,None
CSO,"Frostburg, City of",MD0067423,3/1/2007,7:00:00 PM,0,36,0,010/Q,21532,37.5791275,-81.52841273,Cumberland WWTP,15000,15000,Precipitation,Georges Creek,Allegany,,,None
CSO,"Frostburg, City of",MD0067423,3/1/2007,7:00:00 PM,0,36,0,011/R,21532,37.5791267,-81.52841199,Cumberland WWTP,15000,15000,Precipitation,Georges Creek,Allegany,,,None
CSO,"Frostburg, City of",MD0067423,3/1/2007,7:00:00 PM,0,36,0,012/U,21532,37.57912589,-81.5284116,Cumberland WWTP,15000,15000,Precipitation,Georges Creek,Allegany,,,None
CSO,"Cumberland, City of",MD0021598,3/1/2007,8:45:00 PM,0,10,0,007 Oldtown Road,21502,39.391,-78.491,Cumberland WWTP,405800,405800,Precipitation,Potomac River,Allegany,,,None
CSO,"Cumberland, City of",MD0021598,3/1/2007,8:45:00 PM,0,18,0,011 Franklin Street,21502,39.391,-78.491,Cumberland WWTP,371600,371600,Precipitation,Wills Creek,Allegany,,,None
CSO,"Cumberland, City of",MD0021598,3/1/2007,8:50:00 PM,0,10,0,015 Avirett,21502,39.391,-78.491,Cumberland WWTP,160500,160500,Precipitation,Potomac River,Allegany,,,None
CSO,"Cumberland, City of",MD0021598,3/1/2007,8:58:00 PM,0,10,0,008 Bedford Street,21502,39.391,-78.491,Cumberland WWTP,50500,50500,Precipitation,Wills Creek,Allegany,,,None
CSO,Allegany County DPW,MD0067407,3/1/2007,9:00:00 PM,0,87,0,002 Braddock Estates,21532,39.3821,-78.5555,Cumberland WWTP,261000,261000,Precipitation,Georges Creek,Allegany,,,None
CSO,Allegany County DPW,MD0067407,3/1/2007,9:00:00 PM,0,34,0,003 Grahamtown,21532,39.3857,-78.5525,Cumberland WWTP,102000,102000,Precipitation,Georges Creek,Allegany,,,None
CSO,La Vale,MD0067547,3/1/2007,9:00:00 PM,,,,006 Red Hill,21504,37.57912013,-81.52834872,Cumberland WWTP,23141041,23141041,Excessive flow,Braddock Run,Allegany,,,Duration & zip code not provided
CSO,"Cumberland, City of",MD0021598,3/1/2007,9:00:00 PM,0,12,0,010 N. Mechanic Street,21502,39.391,-78.491,Cumberland WWTP,38000,38000,Precipitation,Wills Creek,Allegany,,,None
CSO,"Cumberland, City of",MD0021598,3/1/2007,9:01:00 PM,0,11,0,003 Mill Race PS,21502,39.391,-78.491,Cumberland WWTP,1661000,1661000,Precipitation,Potomac River,Allegany,,,None
CSO,"Cumberland, City of",MD0021598,3/1/2007,9:32:00 PM,0,2,0,002 WWTP Bypass,21502,39.391,-78.491,Cumberland WWTP,4874700,4874700,Precipitation,Potomac River,Allegany,,,None
SSO,Allegany County DPW,N/A,3/1/2007,10:00:00 PM,0,4,0,"Bedford Road Sanitary District, Ioka PS",21502,,,Cumberland WWTP,12000,12000,Precipitation,Evitts Creek,Allegany,,,None
SSO,Allegany County DPW,N/A,3/1/2007,10:00:00 PM,1,1,0,"Bedford Road Sanitary District, Mill Run PS",21502,,,Cumberland WWTP,75000,75000,Precipitation,Pea Vine Run,Allegany,,,None
CSO,"Cumberland, City of",MD0021598,3/1/2007,10:01:00 PM,0,48,0,017 Evitts Creek PS,21502,39.391,-78.491,Cumberland WWTP,7871100,7871100,Precipitation,Evitts Creek,Allegany,,,None
SSO,Allegany County DPW,N/A,3/1/2007,11:30:00 PM,2,21,0,017 Evitts Creek PS,21502,,,Cumberland WWTP,207000,207000,Precipitation,North Branch Potomac River,Allegany,,,None
SSO,Allegany County DPW,N/A,3/1/2007,11:30:00 PM,0,24,0,"Cresaptown Sanitary District, MH #20 on Darrows Lane",21502,,,Cumberland WWTP,72000,72000,Precipitation,Warrior Run,Allegany,,,None
SSO,Allegany County DPW,N/A,3/1/2007,11:30:00 PM,0,77,0,"Jennings Run Sanitary District, Locust Grove Pump Station",21502,,,Cumberland WWTP,231000,231000,Precipitation,Wills Creek,Allegany,,,None
BYPASS,Greenbrier State Park WWTP (MES),MD0023868,3/2/2007,12:30:00 AM,0,10,30,"Greenbrier State Park WWTP, 21843 National Pike, Boonsboro",21713,39.550948,-77.613167,Greenbrier State Park WWTP,13000,13000,"Rainfall, Melting Snow",Beaver Creek,Washington,,,None
SSO,"Emmitsburg, Town of",N/A,3/2/2007,4:30:00 AM,0,5,30,MH #98,21727,,,Emmitsburg WWTP,5700,5700,Precipitation,Unknown,Frederick,,,None
BYPASS,"St. Michaels, City of / MES",MD0023604,3/2/2007,5:15:00 AM,0,4,45,MES-Sand Filter,21108,,,,125000,125000,Precipitation,Miles River,Talbot,,,Collection system not provided
SSO,Baltimore County DPW,N/A,3/2/2007,6:15:00 AM,0,2,15,5809 Edmondson Avenue,21228,,,Patapsco WWTP,7800,7800,Precipitation,Maiden Choice Creek,Baltimore County,,,None
SSO,Baltimore County DPW,N/A,3/2/2007,6:15:00 AM,0,3,15,"Overbrook Road near Medwick Garth, MH # 371",21228,39.278797,-76.711232,Patapsco WWTP,38376,38376,Precipitation,Maiden Choice Creek,Baltimore County,,,None
SSO,Baltimore County DPW,N/A,3/2/2007,6:45:00 AM,0,3,0,1100 68th St. Red House Run PS,21237,,,Back River WWTP,3600,3600,Pipe failure,Moores Run,Baltimore County,,,Collection system not provided
SSO,City of Baltimore,N/A,3/2/2007,8:00:00 AM,0,4,0,2811 Sisson Street,,,,,480,480,Grease,Jones Falls,City of Baltimore,,,Lat/Long could not be obtained with the address provided
SSO,"Cambridge, City of",N/A,3/2/2007,9:00:00 AM,0,1,45,"Homestead / Benjamin's WWTP, Aeration Basin",21904,,,,200,200,Mechanical Failure,Unknown,Cecil,,,Collection system not provided
SSO,MES,N/A,3/2/2007,11:00:00 AM,0,0,30,"Cunningham Falls St. Pk., MH @ South Beach Lift Station, Thurmont, MD",21108,,,,499,499,Mechanical failure,Unknown,Frederick,,,Collection system not provided
SSO,City of Baltimore,N/A,3/2/2007,1:00:00 PM,0,1,0,4200 Ayrdale Ave,,,,,180,180,Grease,Gwynn's Falls,City of Baltimore,,,Lat/Long could not be obtained with the address provided
SSO,Garrett County DPW,N/A,3/2/2007,1:15:00 PM,0,3,0,"96 Railroad St. Jennings, MD. Mr. & Mrs. Frantz (Private Property)",21550,,,,150,150,Snowmelt,Unknown,Garrett,,,Collection system not provided
SSO,Garrett County DPW,N/A,3/2/2007,1:15:00 PM,0,3,0,"96 Railroad Street, Jennings",,,,,150,150,Snowmelt,Unknown,Garrett,,,Collection system not provided
SSO,Hamestead and Maple Hill Estates,N/A,3/2/2007,10:45:00 PM,,,,WWTP,21904,,,,200,200,Mechanical failure,Unknown,Cecil,,,Duration & collection system not provided
CSO,"Cambridge, City of",MD0021636,3/2/2007,,,,,"Vue de Leau Street, Mills Street, Oakley Street, Maryland Ave., Glenburn Ave and Choptank Ave",21614,38.3431,-76.3465,Cambridge WWTP,400000,400000,Precipitation,Choptank River,Dorchester,,,Time discovered and duration not provided
SSO,WSSC,N/A,3/3/2007,10:37:00 AM,0,1,23,"11800 Blk, RW Ashley Drive, MH 05091008, Rockville",20852,,,,2070,2070,Grease,Rock Creek,Montgomery,,,Collection system not provided
SSO,WSSC,N/A,3/3/2007,2:54:00 PM,0,1.6,0,"6920x Blaisdell Rd, Glen Echo, MD",20817,,,,48,48,Roots,Cabin John,Montgomery,,,Collection system not provided
SSO,WSSC,N/A,3/3/2007,2:54:00 PM,0,1,36,"6920x Blaisdell Rd, MH 07049025, Glen Echo",20817,,,,48,48,Roots,Cabin John,Montgomery,,,Collection system not provided
SSO,City of Baltimore,N/A,3/3/2007,9:15:00 PM,0,1,45,2500 Franklin St,21223,,,Back River WWTP,525,525,Grease,Inner Harbor,City of Baltimore,,,None
BYPASS,The Commissioners of Thurmont,MD0021121,3/3/2007,11:00:00 PM,0,5,0,"74 Moser Rd, Thurmont WWTP, Screen & Grit Building",21788,,,Thurmont WWTP,306000,306000,Precipitation,Unknown,Frederick,,,Zip Code not provided
BYPASS,The Commissioners of Thurmont,MD0021121,3/3/2007,11:00:00 PM,0,5,0,"74 Moser Rd, Thurmont WWTP, Water Street MH",21788,,,Thurmont WWTP,5000,5000,Precipitation,Unknown,Frederick,,,Zip Code not provided
BYPASS,The Commissioners of Thurmont,MD0021121,3/3/2007,11:00:00 PM,0,5,0,Iron Master Court,21788,,,Thurmont WWTP,6300,6300,Precipitation,Unknown,Frederick,,,Zip Code not provided
SSO,The Commissioners of Thurmont,N/A,3/3/2007,11:00:00 PM,,,,MH 01 located on Plant Drive,21788,,,Thurmont WWTP,1000,1000,Precipitation,Storm Water Management Pond,Frederick,,,Duration & zip code not provided
SSO,The Commissioners of Thurmont,N/A,3/3/2007,11:00:00 PM,,,,Thurmont WWTP,21740,,,Thurmont WWTP,318300,318300,Precipitation,Unknown,Frederick,,,Duration & receiving water not provided
SSO,City of Baltimore,N/A,3/3/2007,11:30:00 PM,0,4,5,2600 Harlam Ave,21216,,,Patapsco WWTP,1225,1225,Grease,Inner Harbor,City of Baltimore,,,Lat/Long could not be obtained with the address provided
SSO,WSSC,N/A,3/4/2007,3:43:00 PM,0,19,47,"1323 Fenwick Lane, SS05992086, Silver Spring",20910,,,,17802,17802,Unknown,Rock Creek,Montgomery,,,Collection system not provided
SSO,Washington County Department of Water Quality,N/A,3/4/2007,5:00:00 PM,0,0,45,"25427 Warren Ave., Cascade",,,,,0,0,Mechanical failure,Unnamed,Washington,,,Collection system not provided
SSO,City of Baltimore,N/A,3/5/2007,3:00:00 PM,0,2,0,6001 Smith Ave,,,,,2400,2400,Grease,Jones Falls,City of Baltimore,,,Lat/Long could not be obtained with the address provided
SSO,"Army, Department of",N/A,3/6/2007,,3,,,"Building E-4305, MD Nat. Guard Armory",21005,,,,0,0,Pipe failure,Unknown,Harford,,,Collection system not provided
BYPASS,Charles County DPW,MD0021865,3/7/2007,12:00:00 AM,,,,Panda PS@ Mattawoman WWTP,,,,,0,0,Leaking Pipe,Unknown,Charles,,,"Duration, zip code & quantity not provided"
SSO,Baltimore County DPW,N/A,3/7/2007,12:49:00 PM,0,3,26,"Lakeside Dr., SW Hollins Ave.",21210,,,Patapsco WWTP,3500,3500,Grease,Lake Roland,Baltimore County,,,None
CSO,"Cambridge, City of",MD0021636,3/8/2007,,,,,"Vue de Leau Street, Mills Street, Oakley Street, Maryland Ave., Glenburn Ave and Choptank Ave",21614,38.3431,-76.3465,Cambridge WWTP,20000,20000,Precipitation,Choptank River,Dorchester,,,Time discovered and duration not provided
SSO,WSSC,N/A,3/9/2007,12:47:00 PM,0,2,47,"19721 Frederick Rd, MH 15031106",20876,,,,3705,3705,Grease,Seneca Creek,Montgomery,,,Collection system not provided
SSO,WSSC,N/A,3/10/2007,10:14:00 AM,0,3,2,"19321 Golden Meadow Dr., MH SS15031093",20878,,,,2718,2718,Grease,Seneca Creek,Montgomery,,,Collection system not provided
CSO,Allegany County DPW,MD0067407,3/10/2007,2:00:00 PM,,,,002 Braddock Estates,21532,39.3821,-78.5555,Cumberland WWTP,144000,144000,Precipitation,Georges Creek,Allegany,,,Duration not provided
SSO,Allegany County DPW,N/A,3/10/2007,3:00:00 PM,8,0,0,"Jennings Run Sanitary District, MH 47 Between Corriganville and Barrelville, Corriganville",21502,,,Cumberland WWTP,576000,576000,Precipitation,Jennings Run,Allegany,,,None
SSO,WSSC,N/A,3/10/2007,3:19:00 PM,0,3,18,"14004 Flint Rock Rd., MH 05138061",20852,,,,95,95,Blockage,Rock Creek,Montgomery,,,Collection system not provided
SSO,Baltimore County DPW,N/A,3/10/2007,10:44:00 PM,0,0,46,25 Tameron Place,21237,,,Back River WWTP,1000,1000,Grease,Trib to Red House Run,Baltimore County,,,Collection system not provided
CSO,"Frostburg, City of",MD0067423,3/11/2007,11:00:00 AM,0,8,0,001/C,21532,37.57912784,-81.52842485,Cumberland WWTP,3000,3000,Precipitation,Sand Spring Run,Allegany,,,None
CSO,"Frostburg, City of",MD0067423,3/11/2007,11:00:00 AM,0,8,0,006/H,21532,37.5791357,-81.52842085,Cumberland WWTP,3000,3000,Precipitation,Jennings Run,Allegany,,,None
CSO,"Frostburg, City of",MD0067423,3/11/2007,11:00:00 AM,0,8,0,010/Q,21532,37.5791275,-81.52841273,Cumberland WWTP,3000,3000,Precipitation,Georges Creek,Allegany,,,None
CSO,"Frostburg, City of",MD0067423,3/11/2007,11:00:00 AM,0,8,0,011/R,21532,37.5791267,-81.52841199,Cumberland WWTP,3000,3000,Precipitation,Georges Creek,Allegany,,,None
CSO,"Frostburg, City of",MD0067423,3/11/2007,11:00:00 AM,0,8,0,012/U,21532,37.57912589,-81.5284116,Cumberland WWTP,3000,3000,Precipitation,Georges Creek,Allegany,,,None
SSO,WSSC,N/A,3/11/2007,4:11:00 PM,0,2,37,"7201 Barnett Rd., MH 07034097",20817,,,,10,10,Grease,Cabin John,Montgomery,,,Collection system not provided
SSO,"St. Michaels, City of / MES",N/A,3/12/2007,8:45:00 AM,0,1,15,St. Michael's WWTP,21108,,,St. Michael's WWTP,4945,4945,Contractor,Emergency Holding Tank,Talbot,,,Collection system not provided
SSO,City of Baltimore,N/A,3/12/2007,3:42:00 PM,0,6,8,1925 E. 32nd St.,,,,,390,390,Grease,Jones Falls,City of Baltimore,,,Lat/Long could not be obtained with the address provided
SSO,Anne Arundel County DPW,N/A,3/12/2007,5:17:00 PM,0,2,0,7905 Ritchie Hwy.,,,,,1000,1000,Blockage,Marley Creek Headwater,Anne Arundel,,,Collection system not provided
SSO,Ewell WWTP,N/A,3/12/2007,,0,,,Ewell WWTP,21108,,,,1000,1000,Pipe failure,Unknown,Somerset,,,Collection system not provided
